,Fuel_type,Body_type,transmission,ownerNo,brand,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Engine,seat,Color,city
0,Petrol,Hatchback,Manual,3,Maruti,Maruti Celerio,2015,4.0,Third Party insurance,120000.0,23.1,998,5,White,Banglore
1,Petrol,SUV,Manual,2,Ford,Ford Ecosport,2018,8.11,Comprehensive,32706.0,17.0,1497,5,White,Banglore
2,Petrol,Hatchback,Manual,1,Tata,Tata Tiago,2018,5.85,Comprehensive,11949.0,23.84,1199,5,Red,Banglore
3,Petrol,Sedan,Manual,1,Hyundai,Hyundai Xcent,2014,4.62,Comprehensive,17794.0,19.1,1197,5,Others,Banglore
4,Diesel,SUV,Manual,1,Maruti,Maruti SX4 S Cross,2015,7.9,Third Party insurance,60000.0,23.65,1248,5,Gray,Banglore
5,Diesel,SUV,Manual,1,Jeep,Jeep Compass,2020,19.0,Third Party insurance,20000.0,17.1,1956,5,Others,Banglore
6,Petrol,Hatchback,Manual,1,Datsun,Datsun GO,2017,3.45,Comprehensive,37772.0,20.63,1198,5,Grey,Banglore
7,Petrol,SUV,Automatic,1,Hyundai,Hyundai Venue,2021,12.0,Third Party insurance,30000.0,18.15,998,5,Others,Banglore
8,Petrol,Sedan,Automatic,1,Maruti,Maruti Ciaz,2018,9.6,Comprehensive,37000.0,20.28,1462,5,Maroon,Banglore
9,Petrol,Hatchback,Manual,1,Tata,Tata Tiago,2017,5.85,Comprehensive,11949.0,23.84,1199,5,Red,Banglore
10,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2018,6.9,Third Party insurance,50000.0,21.4,1197,5,Red,Banglore
11,Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Grand i10,2019,6.82,Third Party insurance,24887.0,18.9,1197,5,Orange,Banglore
12,Petrol,Hatchback,Automatic,1,Honda,Honda Jazz,2018,8.25,Comprehensive,23000.0,18.2,1199,5,Grey,Banglore
13,Petrol,Hatchback,Automatic,1,Tata,Tata Tiago,2018,5.95,Comprehensive,48928.0,23.84,1199,5,Red,Banglore
14,Diesel,SUV,Manual,3,Mahindra,Mahindra XUV500,2014,6.9,Comprehensive,108862.0,15.1,2179,7,Silver,Banglore
15,Diesel,SUV,Manual,1,Jeep,Jeep Compass,2018,13.5,Third Party insurance,80000.0,17.1,1956,5,Others,Banglore
16,Diesel,SUV,Automatic,1,Mercedes-Benz,Mercedes-Benz GLA,2022,55.95,Comprehensive,16000.0,18.59550782650257,1950,5,Blue,Banglore
17,Diesel,Hatchback,Manual,2,Hyundai,Hyundai i20,2014,5.21,Comprehensive,65376.0,21.27,1396,5,Blue,Banglore
18,Petrol,SUV,Manual,1,Tata,Tata Nexon,2022,10.05,Third Party insurance,10000.0,17.33,1199,5,Others,Banglore
19,Petrol,Sedan,Manual,2,Honda,Honda City,2016,7.75,Comprehensive,67000.0,17.8,1497,5,Brown,Banglore
20,Diesel,Sedan,Automatic,3,BMW,BMW 5 Series,2011,22.0,Third Party insurance,100000.0,18.48,1995,5,White,Banglore
21,Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2016,5.82,Comprehensive,18083.0,22.38,1197,5,Silver,Banglore
22,Petrol,SUV,Manual,1,Renault,Renault Duster,2020,10.9,Third Party insurance,30000.0,16.42,1498,5,Others,Banglore
23,Petrol,Hatchback,Manual,2,Tata,Tata Tiago,2016,4.57,Comprehensive,57634.0,23.84,1199,5,Silver,Banglore
24,Petrol,Sedan,Automatic,2,Mercedes-Benz,Mercedes-Benz S-Class,2016,49.0,Third Party insurance,50000.0,7.81,4663,5,Others,Banglore
25,Petrol,Sedan,Manual,1,Honda,Honda City,2015,5.5,Third Party insurance,110000.0,17.4,1497,5,Others,Banglore
26,Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Santro,2018,5.7,Comprehensive,23447.0,20.3,1086,5,Yellow,Banglore
27,Lpg,Hatchback,Manual,2,Hyundai,Hyundai Santro Xing,2009,2.2,Third Party insurance,30000.0,13.45,1086,5,Others,Banglore
28,Petrol,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2017,41.45,Comprehensive,33000.0,15.0,1991,5,White,Banglore
29,Diesel,SUV,Manual,2,Mahindra,Mahindra XUV500,2014,8.61,Third Party,87667.0,15.1,2179,7,Black,Banglore
30,Diesel,Sedan,Automatic,2,Audi,Audi A4,2016,17.85,Third Party insurance,40000.0,17.11,1968,5,Others,Banglore
31,Diesel,SUV,Manual,2,Mahindra,Mahindra XUV500,2014,8.03,Comprehensive,79012.0,15.1,2179,7,Silver,Banglore
32,Diesel,SUV,Manual,1,Jeep,Jeep Compass,2021,25.65,Comprehensive,31344.0,17.1,1956,5,Black,Banglore
33,Petrol,Sedan,Manual,1,Hyundai,Hyundai Xcent,2018,6.74,Third Party insurance,50000.0,20.14,1197,5,Others,Banglore
34,Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,2015,3.49,Comprehensive,12434.0,20.51,998,5,Brown,Banglore
35,Petrol,MUV,Manual,2,Maruti,Maruti Ertiga,2019,10.5,Third Party insurance,60000.0,19.34,1462,7,Others,Banglore
36,Diesel,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2019,44.25,Comprehensive,12000.0,12.6,1950,5,White,Banglore
37,Petrol,Hatchback,Manual,2,Maruti,Maruti Wagon R,2015,4.06,Comprehensive,40987.0,20.51,998,5,White,Banglore
38,Petrol,Sedan,Automatic,1,BMW,BMW 5 Series,2020,49.65,Zero Dep,18157.0,15.56,1998,5,Blue,Banglore
39,Diesel,SUV,Manual,3,Toyota,Toyota Fortuner,2011,11.0,Third Party insurance,120000.0,11.5,2982,7,Others,Banglore
40,Diesel,SUV,Automatic,2,Renault,Renault Duster,2020,11.0,Third Party insurance,40000.0,19.87,1461,5,Others,Banglore
41,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2016,5.94,Comprehensive,89667.0,18.6,1197,5,White,Banglore
42,Diesel,Hatchback,Manual,1,Hyundai,Hyundai i20,2017,7.1,Third Party insurance,120000.0,22.54,1396,5,Others,Banglore
43,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2017,6.92,Zero Dep,56997.0,21.4,1197,5,Blue,Banglore
44,Petrol,Sedan,Manual,1,Hyundai,Hyundai Elantra,2013,6.5,Third Party insurance,120000.0,16.3,1797,5,Others,Banglore
45,Diesel,Sedan,Automatic,1,Audi,Audi A6,2015,20.9,Third Party insurance,59000.0,18.53,1968,5,White,Banglore
46,Petrol,Hatchback,Manual,1,Maruti,Maruti Alto 800,2021,4.11,Zero Dep,18835.0,22.05,796,5,Silver,Banglore
47,Diesel,SUV,Manual,2,Mahindra,Mahindra Scorpio,2010,6.5,Third Party insurance,120000.0,12.05,2179,7,Gray,Banglore
48,Petrol,Hatchback,Automatic,1,Mini,Mini 3 DOOR,2016,36.75,Comprehensive,40000.0,17.33,1998,4,White,Banglore
49,Petrol,Hatchback,Manual,1,Tata,Tata Tiago,2019,6.1,Comprehensive,60932.0,23.84,1199,5,Red,Banglore
50,Petrol,SUV,Automatic,2,Kia,Kia Seltos,2020,16.75,Comprehensive,33539.0,16.5,1353,5,White,Banglore
51,Petrol,Hatchback,Manual,2,Tata,Tata Tiago,2018,5.3,Comprehensive,66837.0,23.84,1199,5,Brown,Banglore
52,Diesel,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2022,79.9,Third Party,400.0,18.59550782650257,2925,5,White,Banglore
53,Petrol,Hatchback,Manual,2,Maruti,Maruti Alto,2008,2.5,Third Party insurance,60000.0,19.7,796,5,Others,Banglore
54,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2019,7.15,Third Party insurance,44285.0,18.6,1197,5,Grey,Banglore
55,Diesel,SUV,Automatic,2,Mercedes-Benz,Mercedes-Benz GL-Class,2014,35.0,Third Party insurance,100000.0,11.3,2987,7,Others,Banglore
56,Diesel,SUV,Automatic,1,Tata,Tata New Safari,2021,22.5,Comprehensive,25000.0,14.08,1956,6,White,Banglore
57,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2018,6.25,Comprehensive,36735.0,18.9,1197,5,Blue,Banglore
58,Diesel,SUV,Automatic,1,Audi,Audi Q7,2015,26.95,Comprehensive,79000.0,12.07,2967,7,White,Banglore
59,Diesel,SUV,Manual,2,Mahindra,Mahindra Scorpio,2010,6.5,Third Party insurance,120000.0,12.05,2179,8,Gray,Banglore
60,Petrol,Hatchback,Automatic,1,Renault,Renault KWID,2022,5.5,Third Party insurance,10000.0,22.0,999,5,Others,Banglore
61,Diesel,SUV,Manual,1,Tata,Tata Nexon,2018,8.25,Comprehensive,53645.0,21.5,1497,5,White,Banglore
62,Petrol,Hatchback,Manual,2,Hyundai,Hyundai Getz,2006,2.2,Third Party insurance,100000.0,15.3,1341,5,Others,Banglore
63,Petrol,Hatchback,Automatic,1,Maruti,Maruti Celerio,2014,4.28,Comprehensive,53982.0,26.68,998,5,Others,Banglore
64,Diesel,Sedan,Manual,1,Skoda,Skoda Rapid,2014,6.95,Third Party insurance,110000.0,21.14,1498,5,Black,Banglore
65,Petrol,SUV,Manual,2,Ford,Ford Ecosport,2019,9.3,Third Party insurance,37741.0,15.9,1496,5,White,Banglore
66,Petrol,Hatchback,Manual,1,Maruti,Maruti Alto 800,2021,4.55,Comprehensive,17367.0,22.05,796,5,Silver,Banglore
67,Diesel,SUV,Manual,1,Hyundai,Hyundai Creta,2017,11.95,Comprehensive,94000.0,19.67,1582,5,Grey,Banglore
68,Diesel,SUV,Automatic,1,Tata,Tata Harrier,2021,21.75,Comprehensive,33700.0,14.6,1956,5,Grey,Banglore
69,Petrol,Hatchback,Manual,3,Maruti,Maruti Swift,2014,4.42,Comprehensive,54601.0,22.38,1197,5,White,Banglore
70,Diesel,Hatchback,Manual,1,Maruti,Maruti Swift,2018,6.9,Third Party insurance,110000.0,28.4,1248,5,Others,Banglore
71,Petrol,Hatchback,Manual,2,Maruti,Maruti Celerio,2017,5.0,Third Party,64000.0,23.1,998,5,Red,Banglore
72,Diesel,Sedan,Automatic,1,BMW,BMW 3 Series GT,2016,33.95,Comprehensive,40525.0,21.76,1995,5,White,Banglore
73,Diesel,Sedan,Manual,1,Maruti,Maruti Ciaz,2015,6.5,Third Party insurance,100000.0,26.21,1248,5,White,Banglore
74,Petrol,Hatchback,Automatic,2,Honda,Honda Jazz,2016,5.37,Comprehensive,44154.0,19.0,1199,5,White,Banglore
75,Diesel,MUV,Manual,1,Renault,Renault Lodgy,2016,7.5,Third Party insurance,70000.0,19.98,1461,7,White,Banglore
76,Petrol,Sedan,Automatic,1,Skoda,Skoda Octavia,2018,17.9,Comprehensive,79000.0,15.1,1798,5,White,Banglore
77,Petrol,Hatchback,Manual,2,Tata,Tata Tiago,2017,4.68,Third Party insurance,68039.0,23.84,1199,5,Orange,Banglore
78,Petrol,Hatchback,Manual,2,Maruti,Maruti Ritz,2014,4.2,Third Party insurance,60000.0,18.5,1197,5,Silver,Banglore
79,Petrol,Hatchback,Manual,2,Maruti,Maruti Ritz,2014,4.2,Third Party insurance,60000.0,18.5,1197,5,Silver,Banglore
80,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2021,9.2,Third Party insurance,10000.0,20.0,998,5,Others,Banglore
81,Petrol,Sedan,Manual,1,Honda,Honda City,2013,5.33,Third Party,49873.0,16.8,1497,5,Yellow,Banglore
82,Petrol,Hatchback,Automatic,3,Volkswagen,Volkswagen Polo,2013,8.5,Third Party insurance,90000.0,17.2,1197,5,Others,Banglore
83,Diesel,Sedan,Manual,2,Skoda,Skoda Rapid,2017,7.51,Third Party insurance,48960.0,21.13,1498,5,Silver,Banglore
84,Diesel,Hatchback,Manual,2,Hyundai,Hyundai Grand i10,2014,3.88,Third Party insurance,70000.0,24.0,1120,5,Others,Banglore
85,Petrol,Hatchback,Manual,2,Hyundai,Hyundai i20,2013,4.9,Comprehensive,68000.0,18.5,1197,5,Silver,Banglore
86,Diesel,SUV,Manual,1,Mahindra,Mahindra KUV 100,2016,4.94,Third Party,23017.0,25.32,1198,6,Orange,Banglore
87,Diesel,Hatchback,Manual,2,Hyundai,Hyundai i20,2013,5.25,Comprehensive,83000.0,21.27,1396,5,Brown,Banglore
88,Diesel,SUV,Automatic,2,BMW,BMW X3,2016,28.9,Comprehensive,92000.0,16.55,1995,5,White,Banglore
89,Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,2018,5.5,Comprehensive,62139.0,20.51,998,5,Red,Banglore
90,Lpg,Hatchback,Manual,1,Hyundai,Hyundai i10,2013,3.65,Comprehensive,74000.0,19.2,1086,5,Grey,Banglore
91,Petrol,Hatchback,Automatic,2,Renault,Renault KWID,2016,4.2,Comprehensive,26500.0,24.04,999,5,Red,Banglore
92,Diesel,Sedan,Automatic,1,Volvo,Volvo S60,2017,18.95,Comprehensive,81716.0,27.03,1969,5,Silver,Banglore
93,Diesel,Sedan,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2018,59.9,Comprehensive,24000.0,17.0,2987,5,White,Banglore
94,Petrol,SUV,Automatic,1,Mahindra,Mahindra XUV300,2022,10.5,Third Party insurance,10000.0,17.0,1197,5,White,Banglore
95,Petrol,SUV,Automatic,1,MG,MG Hector Plus,2021,20.75,Comprehensive,18000.0,16.56,1451,6,Black,Banglore
96,Petrol,Hatchback,Manual,1,Honda,Honda Brio,2013,3.94,Third Party,38197.0,19.4,1198,5,Others,Banglore
97,Petrol,Hatchback,Automatic,2,Maruti,Maruti Baleno,2017,7.25,Comprehensive,23000.0,19.56,1197,5,Grey,Banglore
98,Petrol,Hatchback,Manual,1,Maruti,Maruti Alto K10,2013,2.4,Third Party insurance,50000.0,20.92,998,5,Red,Banglore
99,Petrol,SUV,Automatic,1,Renault,Renault Kiger,2022,8.35,Third Party insurance,10000.0,19.03,999,5,Others,Banglore
100,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2019,6.95,Third Party insurance,19000.0,18.9,1197,5,Blue,Banglore
101,Petrol,SUV,Automatic,1,Kia,Kia Seltos,2020,17.25,Comprehensive,14000.0,16.5,1353,5,White,Banglore
102,Petrol,Hatchback,Manual,1,Hyundai,Hyundai EON,2014,3.3,Comprehensive,29268.0,21.1,814,5,White,Banglore
103,Petrol,Sedan,Automatic,1,Volkswagen,Volkswagen Vento,2019,9.9,Third Party insurance,20000.0,18.19,1197,5,Others,Banglore
104,Petrol,Sedan,Manual,1,Toyota,Toyota Yaris,2018,7.5,Third Party insurance,30000.0,17.1,1496,5,Others,Banglore
105,Petrol,Hatchback,Automatic,1,Honda,Honda Jazz,2018,7.55,Not Available,64374.0,19.0,1199,5,Grey,Banglore
106,Diesel,SUV,Manual,1,MG,MG Hector,2021,17.5,Third Party insurance,30000.0,17.41,1956,5,Others,Banglore
107,Petrol,SUV,Automatic,1,Hyundai,Hyundai Alcazar,2022,20.83,Comprehensive,7100.0,14.2,1999,6,White,Banglore
108,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i10,2010,2.71,Comprehensive,43679.0,19.81,1086,5,Silver,Banglore
109,Petrol,SUV,Automatic,1,Hyundai,Hyundai Creta,2018,12.8,Third Party insurance,40000.0,14.8,1591,5,Others,Banglore
110,Diesel,Hatchback,Manual,1,Hyundai,Hyundai i20,2012,4.36,Third Party,40562.0,22.54,1396,5,Red,Banglore
111,Petrol,SUV,Automatic,2,Hyundai,Hyundai Creta,2021,16.75,Comprehensive,26500.0,18.59550782650257,1397,5,White,Banglore
112,Petrol,SUV,Automatic,1,Hyundai,Hyundai Venue,2019,12.5,Third Party insurance,20000.0,18.15,998,5,Others,Banglore
113,Diesel,SUV,Automatic,1,Mahindra,Mahindra XUV500,2016,13.5,Third Party insurance,58600.0,16.0,2179,7,Silver,Banglore
114,Petrol,SUV,Automatic,1,Hyundai,Hyundai Venue,2019,12.5,Third Party insurance,20000.0,18.15,998,5,Others,Banglore
115,Petrol,SUV,Automatic,1,Volkswagen,Volkswagen T-Roc,2020,22.25,Comprehensive,42050.0,18.4,1498,5,White,Banglore
116,Petrol,Hatchback,Automatic,1,Maruti,Maruti Celerio,2015,4.75,2,65017.0,23.1,998,5,White,Banglore
117,Diesel,Sedan,Automatic,2,BMW,BMW 3 Series,2008,6.0,Third Party insurance,80000.0,13.2,1995,5,Others,Banglore
118,Petrol,SUV,Automatic,1,Jeep,Jeep Compass,2021,24.5,Third Party insurance,30000.0,14.1,1368,5,Others,Banglore
119,Petrol,SUV,Automatic,1,Kia,Kia Seltos,2020,16.25,Third Party insurance,20000.0,16.5,1353,5,Others,Banglore
120,Diesel,Sedan,Automatic,1,Skoda,Skoda Superb,2014,16.5,Not Available,36349.0,17.2,1968,5,White,Banglore
121,Petrol,Hatchback,Manual,3,Hyundai,Hyundai i10,2009,2.49,Third Party insurance,80000.0,20.36,1197,5,Others,Banglore
122,Petrol,SUV,Manual,2,Renault,Renault Duster,2014,6.3,Not Available,83394.0,13.24,1598,5,Red,Banglore
123,Diesel,SUV,Automatic,2,Audi,Audi Q5,2016,25.99,Third Party insurance,30000.0,14.16,1968,5,Others,Banglore
124,Petrol,Hatchback,Manual,3,Hyundai,Hyundai i10,2009,2.49,Third Party insurance,80000.0,20.36,1197,5,Others,Banglore
125,Petrol,Hatchback,Manual,1,Maruti,Maruti Alto K10,2017,3.85,Third Party,52204.0,24.39,998,5,Silver,Banglore
126,Petrol,Hatchback,Manual,3,Hyundai,Hyundai i20,2012,3.0,Third Party insurance,110000.0,17.0,1197,5,Red,Banglore
127,Diesel,SUV,Automatic,1,Ford,Ford Endeavour,2017,29.75,Third Party insurance,89000.0,10.91,3198,7,Black,Banglore
128,Petrol,Hatchback,Manual,2,Maruti,Maruti Alto 800,2014,2.76,Comprehensive,29813.0,22.05,796,5,Others,Banglore
129,Petrol,Hatchback,Manual,1,Ford,Ford Figo,2018,5.0,Third Party insurance,30000.0,18.16,1196,5,Gray,Banglore
130,Petrol,Hatchback,Automatic,1,Maruti,Maruti Ignis,2020,7.3,Comprehensive,13345.0,20.89,1197,5,White,Banglore
131,Diesel,SUV,Automatic,1,Hyundai,Hyundai Alcazar,2022,22.45,Comprehensive,17100.0,18.1,1498,7,Grey,Banglore
132,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2014,3.99,Comprehensive,75000.0,18.9,1197,5,Grey,Banglore
133,Petrol,Hatchback,Manual,2,Hyundai,Hyundai i10,2011,3.12,Comprehensive,75523.0,20.36,1197,5,Red,Banglore
134,Diesel,SUV,Manual,1,Mahindra,Mahindra XUV500,2015,12.75,Comprehensive,47000.0,16.0,2179,7,Silver,Banglore
135,Diesel,SUV,Manual,1,Tata,Tata Harrier,2022,19.9,Comprehensive,36500.0,16.35,1956,5,White,Banglore
136,Petrol,MUV,Manual,1,Renault,Renault Triber,2020,7.19,Comprehensive,28253.0,20.0,999,7,Silver,Banglore
137,Diesel,SUV,Manual,1,Hyundai,Hyundai Creta,2016,12.6,Third Party insurance,50000.0,19.67,1582,5,White,Banglore
138,Petrol,Hatchback,Manual,2,Hyundai,Hyundai i10,2010,3.0,Third Party insurance,90000.0,20.36,1197,5,Others,Banglore
139,Diesel,SUV,Automatic,2,BMW,BMW X5,2016,39.81,Third Party insurance,70000.0,15.97,2993,5,Others,Banglore
140,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2016,6.27,Comprehensive,52571.0,18.6,1197,5,Grey,Banglore
141,Diesel,Sedan,Automatic,2,BMW,BMW 3 Series,2010,13.0,Third Party insurance,70000.0,16.07,1995,5,Others,Banglore
142,Petrol,Sedan,Manual,1,Honda,Honda City,2015,6.72,Comprehensive,61993.0,17.4,1497,5,Silver,Banglore
143,Diesel,SUV,Automatic,1,Hyundai,Hyundai Tucson,2017,18.25,Comprehensive,57000.0,16.38,1995,5,White,Banglore
144,Diesel,SUV,Manual,2,Toyota,Toyota Fortuner,2021,35.0,Third Party insurance,80000.0,14.24,2755,7,Others,Banglore
145,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2013,4.4,Comprehensive,36359.0,18.5,1197,5,Blue,Banglore
146,Diesel,SUV,Manual,2,Tata,Tata Harrier,2019,14.6,Third Party insurance,70000.0,17.0,1956,5,Others,Banglore
147,Petrol,SUV,Automatic,1,MG,MG Hector,2022,20.41,Comprehensive,7500.0,18.59550782650257,1451,5,White,Banglore
148,Petrol,Sedan,Automatic,1,Hyundai,Hyundai Verna,2017,10.33,Comprehensive,30301.0,17.0,1591,5,Black,Banglore
149,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i10,2010,2.75,Comprehensive,66000.0,20.36,1197,5,Golden,Banglore
150,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2017,6.76,Comprehensive,56010.0,18.6,1197,5,White,Banglore
151,Diesel,SUV,Automatic,1,Mercedes-Benz,Mercedes-Benz GLC,2017,42.9,Comprehensive,47000.0,17.9,2143,5,White,Banglore
152,Diesel,SUV,Manual,2,Nissan,Nissan Terrano,2014,6.5,Third Party insurance,60000.0,19.01,1461,5,Others,Banglore
153,Diesel,Hatchback,Manual,1,Maruti,Maruti Swift,2014,4.44,Third Party insurance,83829.0,25.2,1248,5,Red,Banglore
154,Petrol,Hatchback,Automatic,1,Renault,Renault KWID,2020,5.1,Third Party insurance,10000.0,22.0,999,5,Others,Banglore
155,Diesel,SUV,Automatic,2,Renault,Renault Duster,2016,9.25,Comprehensive,35000.0,19.6,1461,5,Grey,Banglore
156,Petrol,Sedan,Automatic,2,Honda,Honda City,2019,10.24,Comprehensive,51116.0,18.0,1497,5,White,Banglore
157,Diesel,Sedan,Manual,3,Skoda,Skoda Rapid,2016,5.0,Third Party insurance,80000.0,21.14,1498,5,Others,Banglore
158,Petrol,Hatchback,Automatic,2,Volkswagen,Volkswagen Polo,2017,9.95,Third Party insurance,40000.0,17.21,1197,5,Others,Banglore
159,Petrol,SUV,Automatic,2,Honda,Honda CR-V,2012,9.35,Comprehensive,85565.0,11.1,2354,5,White,Banglore
160,Petrol,SUV,Manual,1,Ford,Ford Ecosport,2018,8.34,Comprehensive,36916.0,17.0,1497,5,Others,Banglore
161,Diesel,Hatchback,Manual,1,Volkswagen,Volkswagen Polo,2015,5.6,Third Party insurance,90000.0,20.14,1498,5,Others,Banglore
162,Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2012,4.54,Comprehensive,112795.0,22.38,1197,5,Silver,Banglore
163,Petrol,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz A-Class Limousine,2021,36.9,Comprehensive,11000.0,18.59550782650257,1332,5,Silver,Banglore
164,Petrol,MUV,Manual,2,Toyota,Toyota Innova,2014,11.0,Third Party insurance,120000.0,11.4,1998,7,Others,Banglore
165,Petrol,Hatchback,Manual,2,Honda,Honda Brio,2016,4.62,Comprehensive,36685.0,19.4,1198,5,Red,Banglore
166,Diesel,SUV,Automatic,2,Hyundai,Hyundai Santa Fe,2012,9.0,Third Party insurance,120000.0,11.72,2199,7,Others,Banglore
167,Petrol,Sedan,Automatic,1,BMW,BMW 6 Series,2022,79.0,Comprehensive,4000.0,13.32,1998,4,Blue,Banglore
168,Petrol,Hatchback,Automatic,2,Maruti,Maruti Baleno,2019,8.43,Third Party,32184.0,21.4,1197,5,Silver,Banglore
169,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno RS,2018,7.99,Comprehensive,32279.0,21.1,998,5,White,Banglore
170,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2015,5.76,Comprehensive,59698.0,18.6,1197,5,White,Banglore
171,Diesel,SUV,Manual,1,Renault,Renault Captur,2018,9.49,Comprehensive,46071.0,20.37,1461,5,Grey,Banglore
172,Diesel,SUV,Manual,1,Maruti,Maruti Vitara Brezza,2017,7.95,Third Party insurance,90000.0,24.3,1248,5,Yellow,Banglore
173,Petrol,SUV,Manual,1,Hyundai,Hyundai Venue,2019,10.85,Third Party,9554.0,18.27,998,5,Blue,Banglore
174,Petrol,SUV,Automatic,1,Jeep,Jeep Compass,2022,25.9,Comprehensive,14000.0,14.1,1368,5,Green,Banglore
175,Diesel,SUV,Manual,2,Renault,Renault Duster,2013,5.16,Third Party,74499.0,20.45,1461,5,Brown,Banglore
176,Petrol,SUV,Automatic,2,Ford,Ford Ecosport,2017,7.77,Comprehensive,56211.0,14.8,1497,5,Grey,Banglore
177,Petrol,Hatchback,Manual,1,Honda,Honda Jazz,2019,7.53,Comprehensive,9001.0,18.2,1199,5,White,Banglore
178,Diesel,SUV,Automatic,2,Mahindra,Mahindra XUV500,2017,12.26,Third Party insurance,65457.0,16.0,1997,7,Orange,Banglore
179,Petrol,Hatchback,Manual,1,Honda,Honda Jazz,2017,7.25,Comprehensive,23682.0,18.7,1199,5,Red,Banglore
180,Diesel,Sedan,Manual,1,Hyundai,Hyundai Verna,2020,11.5,Third Party insurance,50000.0,22.0,1582,5,Red,Banglore
181,Diesel,Hatchback,Manual,2,Maruti,Maruti Swift,2015,6.29,Comprehensive,134557.0,25.2,1248,5,White,Banglore
182,Petrol,Sedan,Manual,2,Maruti,Maruti Swift Dzire,2013,4.47,Comprehensive,96567.0,22.41,1197,5,Blue,Banglore
183,Petrol,Hatchback,Manual,3,Maruti,Maruti Celerio,2015,4.0,Third Party insurance,120000.0,23.1,998,5,White,Banglore
184,Diesel,MUV,Manual,2,Maruti,Maruti Ertiga,2014,7.86,Comprehensive,83007.0,20.77,1248,7,White,Banglore
185,Petrol,Hatchback,Manual,1,Honda,Honda Jazz,2018,7.45,Comprehensive,34000.0,18.7,1199,5,Maroon,Banglore
186,Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Grand i10,2014,4.9,Comprehensive,81634.0,18.9,1197,5,White,Banglore
187,Petrol,Sedan,Automatic,2,Honda,Honda City,2017,9.42,Comprehensive,57284.0,18.0,1497,5,Brown,Banglore
188,Petrol,SUV,Automatic,2,Ford,Ford Ecosport,2016,6.75,Third Party insurance,70000.0,15.63,1499,5,Silver,Banglore
189,Petrol,Hatchback,Manual,2,Honda,Honda Brio,2013,3.3,Third Party insurance,70000.0,19.4,1198,5,Red,Banglore
190,Petrol,Sedan,Automatic,2,Toyota,Toyota Yaris,2018,8.75,Third Party insurance,46429.0,17.8,1496,5,White,Banglore
191,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2017,8.69,Comprehensive,17624.0,21.4,1197,5,White,Banglore
192,Diesel,Sedan,Manual,2,Volkswagen,Volkswagen Vento,2012,4.25,Third Party insurance,100000.0,20.54,1598,5,Blue,Banglore
193,Petrol,Sedan,Manual,1,Honda,Honda City,2019,10.7,Third Party insurance,30000.0,17.4,1497,5,Others,Banglore
194,Petrol,SUV,Manual,2,Ford,Ford Ecosport,2018,10.25,Third Party insurance,49690.0,15.9,1496,5,Blue,Banglore
195,Diesel,SUV,Manual,1,Mahindra,Mahindra XUV500,2016,10.0,Third Party insurance,110000.0,16.0,2179,7,White,Banglore
196,Petrol,Sedan,Manual,1,Fiat,Fiat Linea,2009,3.75,Third Party insurance,50000.0,16.0,1368,5,Gray,Banglore
197,Petrol,Sedan,Manual,1,Fiat,Fiat Linea,2009,3.75,Third Party insurance,50000.0,16.0,1368,5,Gray,Banglore
198,Petrol,SUV,Automatic,1,Ford,Ford Ecosport,2018,8.44,Comprehensive,55702.0,14.8,1497,5,Silver,Banglore
199,Diesel,Hatchback,Manual,1,Hyundai,Hyundai i20 Active,2016,7.64,Third Party insurance,45046.0,21.19,1396,5,Brown,Banglore
200,Petrol,Hatchback,Manual,2,Maruti,Maruti Ritz,2014,4.2,Third Party insurance,53000.0,18.5,1197,5,Silver,Banglore
201,Diesel,Hatchback,Manual,1,Maruti,Maruti Baleno,2016,6.84,Third Party insurance,94695.0,27.39,1248,5,Red,Banglore
