,Fuel_type,Body_type,transmission,ownerNo,brand,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Engine,seat,Color,city
7493,Petrol,SUV,Manual,1,Kia,Kia Seltos,2019,13.0,Third Party insurance,80000.0,16.8,1353,5,Others,Jaipur
7494,Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,2018,3.9,Third Party insurance,50000.0,20.51,998,5,Gray,Jaipur
7495,Petrol,Hatchback,Automatic,1,Maruti,Maruti Wagon R,2016,3.5,Third Party insurance,40000.0,20.51,998,5,Others,Jaipur
7496,Petrol,Hatchback,Manual,1,Renault,Renault KWID,2021,4.5,Third Party insurance,60000.0,22.3,799,5,Others,Jaipur
7497,Diesel,Hatchback,Manual,2,Maruti,Maruti Swift,2014,4.5,Third Party insurance,70000.0,25.2,1248,5,Others,Jaipur
7498,Diesel,SUV,Manual,1,Hyundai,Hyundai Venue,2019,9.5,Comprehensive,87000.0,23.7,1493,5,White,Jaipur
7499,Diesel,Sedan,Automatic,1,BMW,BMW 5 Series,2017,29.9,Comprehensive,96330.0,18.12,1995,5,Grey,Jaipur
7500,Diesel,Hatchback,Manual,2,Maruti,Maruti Swift,2015,4.46,Third Party,81040.0,25.2,1248,5,Silver,Jaipur
7501,Petrol,Hatchback,Automatic,1,Volkswagen,Volkswagen Polo,2018,6.72,Third Party,112625.0,17.21,1197,5,Red,Jaipur
7502,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2018,5.0,Comprehensive,58374.0,18.9,1197,5,White,Jaipur
7503,Petrol,Hatchback,Manual,2,Hyundai,Hyundai Grand i10,2014,4.09,Third Party,31733.0,18.9,1197,5,Others,Jaipur
7504,Diesel,Hatchback,Manual,1,Maruti,Maruti Baleno,2019,7.59,Zero Dep,49616.0,27.39,1248,5,White,Jaipur
7505,Petrol,Sedan,Manual,1,Honda,Honda City,2018,8.25,Third Party insurance,70000.0,17.4,1497,5,Others,Jaipur
7506,Diesel,Sedan,Manual,1,Maruti,Maruti Ciaz,2016,6.7,Comprehensive,68000.0,26.21,1248,5,Brown,Jaipur
7507,Diesel,Sedan,Manual,1,Tata,Tata Indigo,2011,2.0,Third Party insurance,120000.0,23.57,1396,5,Red,Jaipur
7508,Petrol,SUV,Manual,2,Ford,Ford Ecosport,2015,6.0,Third Party insurance,50000.0,15.85,1499,5,Others,Jaipur
7509,Diesel,Sedan,Manual,2,Hyundai,Hyundai Elantra,2014,6.0,Third Party insurance,120000.0,22.7,1582,5,Others,Jaipur
